"spec","parameter","truth","mean","bias","rmse","sd"
"CC","beta_(Intercept)",0,-0.0212857458556824,-0.0212857458556824,0.406683000650008,0.409552852541413
"CC","beta_Y0",-0.5,-0.502339955110269,-0.00233995511026874,0.0883315552103521,0.0890457219594674
"CC","beta_X1",0.3,0.303779802095552,0.00377980209555179,0.284628389489456,0.287005049030436
"CC","beta_X2",-0.3,-0.344839659605399,-0.0448396596053987,0.35868944111988,0.358878932558889
"CC","beta_B1",0.4,0.406018687731397,0.00601868773139658,0.418175753261339,0.42166104470781
"CC","beta_B2",0.3,0.228972307400711,-0.0710276925992891,0.450827992289048,0.448954656479892
"CC","beta_B3",0.25,0.314983273134624,0.0649832731346244,0.512652742178905,0.512808823805197
"CC","beta_B4",0.35,0.356923097187254,0.00692309718725354,0.407663507807503,0.411044481476715
"CC","beta_time",0.05,0.0502028718874503,0.000202871887450301,0.0158928201352145,0.016025633328321
"CC","sigma2",4,3.9664946994383,-0.0335053005616972,0.305287529678938,0.306004105342582
"CC","rho",0.3,0.293042749375728,-0.00695725062427233,0.0448274398456503,0.044657977367723
"CC","outcome_fallback",NA,0,NA,NA,0
"CC","source_converged",NA,1,NA,NA,0
"CC","screen_fallback",NA,0,NA,NA,0
