"spec","parameter","truth","mean","bias","rmse","sd"
"CC","beta_(Intercept)",0,0.602368799928738,0.602368799928738,0.713852247323541,0.541732147617772
"CC","beta_Y0",-0.5,-0.445623208772678,0.0543767912273218,0.075911124392183,0.0749087896352056
"CC","beta_X1",0.3,-0.1661503696861,-0.4661503696861,0.470006500040754,0.0849699114048216
"CC","beta_X2",-0.3,0.501375808268209,0.801375808268209,0.802486927788242,0.0597006397534462
"CC","beta_B1",0.4,0.131419049308522,-0.268580950691478,0.326804254659036,0.263307021512567
"CC","beta_B2",0.3,0.0939256389099738,-0.206074361090026,0.207891642999192,0.0387889914857548
"CC","beta_B3",0.25,-0.563012620114842,-0.813012620114842,0.921087250029979,0.61222904488727
"CC","beta_B4",0.35,0.717794531486961,0.367794531486961,0.441697725862466,0.345901904129944
"CC","beta_time",0.05,0.0483769012174042,-0.00162309878259576,0.0109533645339777,0.0153193828176032
"CC","sigma2",4,3.86170028725696,-0.138299712743044,0.292089510118836,0.363839171548784
"CC","rho",0.3,0.2906570361216,-0.00934296387840017,0.068901934972034,0.0965420702995053
"CC","outcome_fallback",NA,0,NA,NA,0
"CC","source_converged",NA,1,NA,NA,0
"CC","screen_fallback",NA,0,NA,NA,0
