"spec","method","n_rep","mean","bias","empirical_sd","variance","mse","rmse","bias_squared","mean_boot_se","se_sd_ratio","coverage","type1","power","mean_ci_length"
"CC","rct_final",200,0.678279344308239,-0.0217206556917607,0.331148271001603,0.109659177387351,0.109582668384095,0.331032730079813,0.000471786883680018,0.327485555901425,0.988939350070892,0.96,0.04,0.525,1.27617243314025
"CC","rct_long",200,0.676096533198853,-0.023903466801147,0.323393087034079,0.104583088741431,0.104631549022838,0.323468003089699,0.000571375725113535,0.319337741892906,0.987460012895249,0.945,0.055,0.555,1.24117245806788
"CC","full",200,1.27740536625343,0.577405366253434,0.310687584804289,0.0965267753515225,0.429441098453027,0.655317555428685,0.333396956978262,0.296707655921672,0.955003258686941,0.54,0.46,0.975,1.1540698381174
"CC","oracle",200,0.691121107146855,-0.00887889285314447,0.273066729778592,0.0745654389119748,0.0742714464557125,0.272527881978546,7.883473829762e-05,0.264460076682966,0.968481502295775,0.915,0.085,0.76,1.02925091170547
"CC","avg",200,0.715749860365631,0.0157498603656311,0.285224750921659,0.0813531585383222,0.0811944508471675,0.284946399954741,0.000248058101536877,0.280894744681078,0.984818967405218,0.945,0.055,0.715,1.09470218119206
"CC","max",200,0.737206813828557,0.0372068138285568,0.276294315785751,0.0763385489355165,0.0773412031861118,0.278102864397532,0.00138434699527289,0.278818341221251,1.0091352781845,0.935,0.065,0.75,1.08669773824434
"CC","quad",200,0.71920895217952,0.0192089521795205,0.281768620454601,0.0793935554728891,0.0793655715393598,0.281718958430844,0.000368983843835104,0.279845483544359,0.993174765496812,0.945,0.055,0.72,1.0921233081461
