"spec","parameter","truth","mean","bias","rmse","sd"
"CC","beta_(Intercept)",0,-0.0058189601087922,-0.0058189601087922,0.432812404017874,0.433859293096292
"CC","beta_Y0",-0.5,-0.504903679396194,-0.00490367939619396,0.0837314913722648,0.0837975340290498
"CC","beta_X1",0.3,0.331519653973318,0.0315196539733181,0.31718307203441,0.316405078129156
"CC","beta_X2",-0.3,-0.329351926761805,-0.0293519267618047,0.372234746663058,0.37200687708924
"CC","beta_B1",0.4,0.436965005099481,0.0369650050994809,0.451631661779768,0.45124589817866
"CC","beta_B2",0.3,0.278887466859221,-0.0211125331407789,0.4142885214466,0.414788485114652
"CC","beta_B3",0.25,0.267595007602514,0.0175950076025136,0.466672232966883,0.46751066279702
"CC","beta_B4",0.35,0.34587588891196,-0.00412411108804028,0.440909293201316,0.441996380688491
"CC","beta_time",0.05,0.0497793912717286,-0.000220608728271413,0.016911186368341,0.0169521809324228
"CC","sigma2",4,4.00431532966892,0.00431532966892245,0.304601034572408,0.305334758529488
"CC","rho",0.3,0.297245439857691,-0.00275456014230863,0.0516426551650337,0.0516985486311738
"CC","outcome_fallback",NA,0,NA,NA,0
"CC","source_converged",NA,1,NA,NA,0
"CC","screen_fallback",NA,0,NA,NA,0
