"criterion","value","target","pass"
"all_replications_valid",200,"200/200",TRUE
"bootstrap_valid_fraction",1,">=0.99",TRUE
"bad_EC_detection",0.935079517011246,">=0.90",TRUE
"clean_EC_wrong_detection",0.0961764478360605,"<=0.10",TRUE
"absolute_bias",0.00218978834035899,"<=0.05 and within 2 MCSE",TRUE
"RMSE_below_RCT_long",0.973598725662014,"<1",TRUE
"coverage_compatible_95pct",0.96,"within 2 MCSE of 0.95",TRUE
"type1_compatible_5pct",0.04,"within 2 MCSE of 0.05",TRUE
"power_above_RCT_long",0.12,">0",TRUE
